ticker,company_name,sector,industry,fiscal_year,price,market_cap_mchf,pe_ratio,pb_ratio,roe,debt_to_equity,net_debt,ev,ev_to_ebitda,ev_to_ebit,price_to_fcf,dividend_yield,ebit_margin,ebitda_margin,net_margin,free_cash_flow_margin,revenue_growth,net_income_growth,quality_notes
SCMN.SW,Swisscom AG,Telecom / Infrastructure,Telecommunications,2016,297.65,15418.8,9.6,2.36,24.59,1.3,8167.0,23585.8,5.5,11.0,11.8,7.39,18.448853388301984,36.871940221592375,13.776518079532766,11.217040281714334,-0.2997088542558646,17.767988252569754,
SCMN.SW,Swisscom AG,Telecom / Infrastructure,Telecommunications,2017,355.42,18411.4,11.7,2.41,20.51,1.08,7761.0,26172.4,6.1,12.3,10.7,6.19,18.27302349511233,36.8290173212142,13.445378151260504,14.705882352941178,0.16318818174010374,-2.244389027431426,
SCMN.SW,Swisscom AG,Telecom / Infrastructure,Telecommunications,2018,337.66,17491.4,11.5,2.13,18.53,1.0,8641.0,26132.4,6.2,12.6,13.3,6.52,17.66262591770531,35.96551135393546,12.984463035683797,11.251493938876559,0.44589264277139495,-2.9974489795918324,
SCMN.SW,Swisscom AG,Telecom / Infrastructure,Telecommunications,2019,385.81,19985.7,,2.25,18.81,0.84,7788.0,27773.7,6.4,14.5,13.0,5.7,16.676853226228936,38.05116563345848,14.572601065223086,13.472452632498037,-2.2281031244664518,9.730440499671268,
SCMN.SW,Swisscom AG,Telecom / Infrastructure,Telecommunications,2020,374.15,19381.7,12.7,2.04,16.1,0.74,7382.0,26763.7,6.1,13.7,10.5,5.88,17.54054054054054,39.47747747747748,13.765765765765767,16.576576576576578,-3.082161878983669,-8.44817255841821,
SCMN.SW,Swisscom AG,Telecom / Infrastructure,Telecommunications,2021,421.72,21845.9,11.9,2.02,16.95,0.6,6846.0,28691.9,6.4,13.9,12.4,5.22,18.47447017794867,40.0429222927658,16.390950549941877,15.720289725476169,0.7477477477477512,19.960732984293195,
SCMN.SW,Swisscom AG,Telecom / Infrastructure,Telecommunications,2022,432.3,22394.0,14.0,2.0,14.35,0.54,6123.0,28517.0,6.5,14.0,16.6,5.09,18.3585313174946,39.6508279337653,14.425845932325416,12.140028797696184,-0.6348922471608676,-12.547735951991267,
SCMN.SW,Swisscom AG,Telecom / Infrastructure,Telecommunications,2023,448.37,23226.4,,2.0,14.72,0.65,7728.0,30954.4,6.7,14.0,15.7,4.91,19.915101156069365,41.744942196531795,15.453395953757227,13.367052023121387,-0.3599712023038104,6.737367436057395,
SCMN.SW,Swisscom AG,Telecom / Infrastructure,Telecommunications,2024,465.62,24120.0,15.6,1.98,12.68,1.44,19058.0,43178.0,9.9,22.1,16.8,4.72,17.67850670532802,39.46176150779268,13.963392533526639,13.021022109459949,-0.32514450867051625,-9.93571011104617,
SCMN.SW,Swisscom AG,Telecom / Infrastructure,Telecommunications,2025,553.97,28696.7,,2.34,10.38,1.37,16460.0,45156.7,6.8,23.5,12.6,3.97,12.792397660818713,43.972620946305156,8.43965975544923,15.18474215842637,36.3537513591881,-17.585983127839068,
SIKA.SW,Sika AG,Chemicals / Construction Materials,Specialty Chemicals,2015,51.1,8198.4,,3.21,18.22,0.37,-126.10000000000014,8072.3,9.6,12.0,21.6,,12.265903956860743,15.253588865408437,8.473001530277637,6.9135757487429865,,,P/E and dividend yield suppressed because EPS/DPS are pre-split registered-share values.
SIKA.SW,Sika AG,Chemicals / Construction Materials,Specialty Chemicals,2016,70.47,11306.2,,3.84,19.22,0.24,-456.29999999999995,10849.9,11.2,13.6,20.1,,13.83683908345947,16.801503209979646,9.857856185952643,9.795222436800808,4.7092472491437665,21.823263814233496,P/E and dividend yield suppressed because EPS/DPS are pre-split registered-share values.
SIKA.SW,Sika AG,Chemicals / Construction Materials,Specialty Chemicals,2017,113.2,18161.7,,5.32,19.03,0.22,-285.9000000000001,17875.8,16.7,19.9,104.6,,14.344701758878415,17.100651377174593,10.386825216458877,2.779956148072275,8.709570784835673,14.542887398517479,P/E and dividend yield suppressed because EPS/DPS are pre-split registered-share values.
SIKA.SW,Sika AG,Chemicals / Construction Materials,Specialty Chemicals,2018,110.97,17803.9,23.7,10.63,41.01,1.81,2118.5,19922.4,17.3,21.1,458.9,1.85,13.349987297823695,16.229147260563977,9.697405933327689,0.5476049340898185,13.397244050381696,5.870570107858253,
SIKA.SW,Sika AG,Chemicals / Construction Materials,Specialty Chemicals,2019,164.28,26357.0,31.0,8.34,23.99,1.4,3417.7999999999997,29774.8,21.5,28.2,-36.8,1.4,13.011147832091943,17.111428994228778,9.35357371873921,-8.84180930301386,14.44943122477207,10.391500509387285,
SIKA.SW,Sika AG,Chemicals / Construction Materials,Specialty Chemicals,2020,221.56,35546.9,38.1,10.81,25.09,1.27,2867.9000000000005,38414.8,25.7,34.0,31.7,1.13,14.350999682640431,19.011107584893683,10.474135195176135,14.22151697873691,-2.857248557194292,8.780487804878057,
SIKA.SW,Sika AG,Chemicals / Construction Materials,Specialty Chemicals,2021,351.54,56400.8,47.6,12.83,23.85,0.85,2553.8,58954.6,33.5,42.4,94.8,0.82,15.038422878635584,19.00068091177329,11.332317369735094,6.429752602055705,17.452237384957137,27.07550599927282,
SIKA.SW,Sika AG,Chemicals / Construction Materials,Specialty Chemicals,2022,206.88,33191.7,27.3,6.68,23.4,0.79,2063.8999999999996,35255.6,17.9,22.3,35.7,1.55,15.056520330162604,18.721287100402222,11.080081587525497,8.87169027240321,13.396668936372569,10.872675250357645,
SIKA.SW,Sika AG,Chemicals / Construction Materials,Specialty Chemicals,2023,258.65,41497.6,37.9,6.99,17.91,1.0,5306.0,46803.6,22.9,30.2,-22.2,1.28,13.783745306354882,18.193547238979942,9.45491431317068,-16.639972950367483,7.11793972435617,-8.593548387096783,
SIKA.SW,Sika AG,Chemicals / Construction Materials,Specialty Chemicals,2024,206.49,33129.1,26.6,4.7,17.7,0.82,5054.7,38183.8,16.8,22.3,29.1,1.74,14.570138823949469,19.293383546854145,10.606047725514532,9.67177019663184,4.666951399640529,17.41012610577828,
SIKA.SW,Sika AG,Chemicals / Construction Materials,Specialty Chemicals,2025,158.09,25363.8,24.3,3.8,15.68,0.83,4747.4,30111.2,14.6,20.2,21.9,2.34,13.330595555872982,18.432681920848474,9.331952541222895,10.320230687509486,-4.775951917436738,-16.21513305546649,
